word	translation	frequency	source	review_reason	alt_translation
phosphorus	磷	2201635	both	both_bad	n. 磷
than	conj. 比；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 sooner等之后）；prep. 比	502609275	both	score	比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
credit	n. 信用；荣誉；学分；赞扬；贷款；赊欠；贷方；存款；(复)credits: 演职员名单.；v. 归功于；相信；记入贷方	175916536	both	close_common	n. 信用；荣誉；学分；赞扬；贷款；赊欠；贷方；存款|(复)credits: 演职员名单.|v. 归功于；相信；记入贷方
going	n. 去；离去；地面(或道路)的状况；进展；(复)goings: 行为.；adj. 运转中的；营业中的；现有的；流行的	155284081	both	close_common	n. 去；离去；地面(或道路)的状况；进展|(复)goings: 行为.|adj. 运转中的；营业中的；现有的；流行的
working	adj. 做工作的；劳动的；工作上的；初步的；暂定的；基本够用的；起作用的；n. 矿；作业区；（复）workings：运作；工作方法.	147675944	both	close_common	adj. 做工作的；劳动的；工作上的；初步的；暂定的；基本够用的；起作用的|n. 矿；作业区|（复）workings：运作；工作方法.
making	n. 制成；成功之道；(复)makings: 要素.	124198695	both	close_common	n. 制成；成功之道|(复)makings: 要素.|动词make的现在分词形式.
porn	色情描写，色情文学；黄色书刊，色情照片（等于pornography）	119294962	both	close_common	n. <口>色情文学，色情描写，色情刊物|adj. <口>色情的，色情文学的|=pornography/pornographic
having	n. 所有；持有；(复)havings: 所有财产.	109360096	both	close_common	n. 所有；持有|(复)havings: 所有财产.|动词have的现在分词形式.
st	标准时间；Shipping装货单	101338951	both	close_common	abbr. 标准时间（=standard time）；街道（=street）
url	abbr. 统一资源定位器（ ，在Internet的www服务程序上用于指定信息位置的表示方法）	100907064	both	close_common	abbr. 统一资源定位器（=Uniform Resource Locator，在Internet的www服务程序上用于指定信息位置的表示方法）
french	n. 法国人；法语；adj. 法国人的；法国的；法语的；french.；vt. (从骨头)剔肉；切成细条	81396759	both	close_common	n. 法国人；法语|adj. 法国人的；法国的；法语的|french.|vt. (从骨头)剔肉；切成细条
doing	n. 做；(复)doings: 所作之事，行为，活动	80821946	both	close_common	n. 做；(复)doings: 所作之事，行为，活动|动词do的现在分词.
pics	n. 照片；电影；picture的简写.	79323162	both	score	生产信息控制系统（Production Information and Control System）
ltd	有限责任公司；激光目标指示器（等于 Designator）	65747979	both	close_common	abbr. （=Limited）有限公司
cancer	n. 癌；肿瘤；毒瘤；Cancer.；n. 巨蟹座	65078084	both	domain_medical	[天] 巨蟹座
mr	n. 先生(Mister的缩写)	55692230	both	score	先生（Mister）
authors	n. 作家；作者；vt. 编写；创作；Author.；n. 上帝	52891750	both	close_common	n. 作家；作者|vt. 编写；创作|Author.|n. 上帝
ed	Edmund，Edward，Edwin等的昵称	51788932	both	close_common	n. Edmund；Edward；Edwin；Edgar；Edmond之昵称
spain	n. 西班牙（西南欧一国家，全称为 Spain，首都为Madrid）	51553238	both	close_common	n. 西班牙（西南欧一国家，全称为the Kingdom of Spain，首都为Madrid）
jersey	n. 毛线衫；毛织运动衫；Jersey: 泽西岛； 泽西乳牛.	48658750	both	close_common	n. 毛线衫；毛织运动衫|Jersey: 泽西岛； 泽西乳牛.
respect	vt. 尊敬；尊重；遵守；关于；涉及；n. 尊敬；敬重；关系；方面；n. （复）respects: 敬意；问候	48329678	both	close_common	vt. 尊敬；尊重；遵守；关于；涉及|n. 尊敬；敬重；关系；方面|n. （复）respects: 敬意；问候
themselves	pron. 他/她/它们自己；他/她/它们亲自；指性别不详的人时用以代替himself或herself；himself/herself/	47176048	both	close_common	pron. 他/她/它们自己；他/她/它们亲自；指性别不详的人时用以代替himself或herself|himself/herself/itself的复数.
francisco	弗朗西斯科（男子名，等于Francis）	45480506	both	close_common	n. 弗朗西斯科(男子名)|=Francis.
se	abbr. 东南；音响效果；二次发射；标准英语（ ； effect； emmision	39483236	both	close_common	abbr. 东南；音响效果；二次发射；标准英语（= southeast；sound effect；seconday emmision；standard English)
ga	n. 镓(元素gallium的符号)；abbr. 总代理人	38185755	both	close_common	n. 镓(元素gallium的符号)|abbr. 总代理人（=General Agent）
spirit	n. 精神；心灵；幽灵；精灵；(复)spirits：精力；情绪；烈酒.；v. 使精神振作；偷偷带走	36971683	both	close_common	n. 精神；心灵；幽灵；精灵|(复)spirits：精力；情绪；烈酒.|v. 使精神振作；偷偷带走
obtained	adj. 获得的；动词obtain过去式和过去分词.	33486258	both	score	获得（obtain的过去分词）
netherlands	荷兰（形容词Netherlandish）；地区名	30672254	both	score	n. 荷兰（国家名，全称the Kingdom of the Netherlands）
figures	n. 图形，数字，外形，体型，形状，人物，塑像，图表，(冰上表演动作的)花样（figure的复数形式；v. 是重要部分，认为，演算，领会到	30231772	both	close_common	n. 图形，数字，外形，体型，形状，人物，塑像，图表，(冰上表演动作的)花样（figure的复数形式|v. 是重要部分，认为，演算，领会到（figure的第三人称单数）
sd	标准偏差；美国南达科他州（邮政编码， Dakota）；侧视图	28394298	both	close_common	abbr. 南达科塔(=South Dakota)
degrees	n. 度；学位；名词degree复数形式.	28091266	both	score	角度，学历；度数（degree的复数）
inches	n. 英寸；少量；v. 慢慢移动；（复）inches: 身高.	28018680	both	close_common	n. 英寸；少量|v. 慢慢移动|（复）inches: 身高.
feeling	n. 感觉；知觉；气氛；鉴赏力；反感；adj. 有感情的；富于同情心的；含情脉脉的；（复）feelings：感情.	26546473	both	close_common	n. 感觉；知觉；气氛；鉴赏力；反感|adj. 有感情的；富于同情心的；含情脉脉的|（复）feelings：感情.
pda	个人数字助理（等于 Assistant）；秀恩爱	26454587	both	close_common	abbr. 个人数字助理 (=Personal Digital Assistant)
licensed	得到许可的（等于licenced）	26151610	both	close_common	adj. 得到许可的|动词license的过去式和过去分词形式.
patterns	n. 式样；图案；样式；模式；名词的pattern复数形式.	25809816	both	score	模式（pattern的复数形式）
lib	解放的（等于liberal）；解放论者的	24291030	both	close_common	n. <非正式> 解放运动|abbr. 自由的(=liberal)；图书管(=library)；图书管理员(=librarian)
cam	abbr. 计算机辅助制造 - manufacturing；n. 凸轮	23995601	both	close_common	abbr. 计算机辅助制造=computer-aided manufacturing|n. 凸轮
ram	随机访问内存（ memory的缩写）；随机存取存储器（ memory的缩写）	23864106	both	score	n. 公羊；撞锤；撞击装置；有撞角的军舰；（水压机的）活塞|v. 撞击；填塞；强迫通过或接受|abbr. 随机存取存储器(=random access memory)|Ram.|n. 白羊座
sessions	n. 会议；研讨；学期；法庭；Sessions.；n. 塞森斯（美国作曲家）	21505885	both	close_common	n. 会议；研讨；学期；法庭|名词session的复数形式.|Sessions.|n. 塞森斯（美国作曲家）
labour	n. 劳动；劳工；分娩；v. 努力；干苦力活；困难吃力地行进；反复说明；Labour；n. (英国)工党	21288089	both	close_common	n. 劳动；劳工；分娩|v. 努力；干苦力活；困难吃力地行进；反复说明|Labour|n. (英国)工党
saving	n. 节约； 挽救；savings:储蓄金； 存款；prep. 除 ... 之外；conj. 除了； 除去； 的现在分词	21120835	both	close_common	n.  节约； 挽救|（复数)savings:储蓄金； 存款|prep.  除 ... 之外|conj.  除了； 除去|save 的现在分词
avatar	n. （网络空间中使用的）头像；化身；（印度教）天神下凡；Avatar.；n. 阿凡达	21069571	both	close_common	n. （网络空间中使用的）头像；化身；（印度教）天神下凡|Avatar.|n. 阿凡达
hundred	num. 百；n. 一百元；（复）hundreds: 成百上千；许多.	18339491	both	close_common	num. 百|n. 一百元|（复）hundreds: 成百上千；许多.
marshall	元帅；典礼官；执法官；法官的随行官员（等于 marshal）	17684438	both	close_common	Marshall: 马歇尔(人名, 姓氏）
dealing	n. 经营方法；行为态度；dealings:商务往来； 交往.	17303748	both	close_common	n. 经营方法；行为态度|(复数）dealings:商务往来； 交往.|动词deal的现在分词.
biz	商业（等于business）	17067959	both	close_common	n. 商业；生意|=business.
andy	n. 安迪（男子名，Andrew的昵称）；安迪（女子名，Andrea的昵称）	16447205	both	close_common	n. 安迪（男子名，Andrew的昵称）；安迪（女子名，Andrea的昵称）
greg	格雷格（男子名，等于Gregory）	15681408	both	close_common	n. 格瑞格(男子名；Gregory的昵称)
nz	新西兰（国家名， Zealand）；新西兰国家航空公司	15445373	both	close_common	abbr. 新西兰(=New Zealand)
republican	n. 拥护共和政体的人；adj. 共和政体的；Republican: 共和党人.；Republican: 共和党的.	14056260	both	close_common	n. 拥护共和政体的人|adj. 共和政体的|Republican: 共和党人.|Republican: 共和党的.
polish	n. 光泽；上光剂；优雅；精良；v. 擦亮；磨光；推敲；完善；Polish.；adj. 波兰的；波兰人的；波兰语的；n. 波兰语	13927858	both	close_common	n. 光泽；上光剂；优雅；精良|v. 擦亮；磨光；推敲；完善|Polish.|adj. 波兰的；波兰人的；波兰语的|n. 波兰语
facing	n. [建]饰面，覆盖面，面层；衬里；(复)facings:衣领；袖口.	13385115	both	close_common	n. [建]饰面，覆盖面，面层；衬里|(复)facings:衣领；袖口.|动词face的现在分词.
kate	凯特（女子名，等于Catherine）	13076275	both	close_common	n. 凯特(女子名；Catherine的昵称)
warner	n. 报警器；警告者；Warner.；n. 华纳；沃纳（姓氏；男子名）	12165874	both	close_common	n. 报警器；警告者|Warner.|n. 华纳；沃纳（姓氏；男子名）
singer	n. 歌手；鸣禽；n. 烧毛工；烧毛机；Singer: 辛格(姓氏).	12021075	both	close_common	n. 歌手；鸣禽|n. 烧毛工；烧毛机|Singer: 辛格(姓氏).
jefferson	杰斐逊(①姓氏 ②Thomas, 1743-1826, 美国政治家, 第三任总统, 独立宣言的起草人),杰斐逊追随者	11851441	both	close_common	杰斐逊(①姓氏 ②Thomas,  1743-1826, 美国政治家, 第三任总统, 独立宣言的起草人),杰斐逊追随者
pointer	n. 指针；教鞭；（能指出猎物位置的）猎犬；暗示；主意；Pointer: 指极星.	11475647	both	close_common	n. 指针；教鞭；（能指出猎物位置的）猎犬；暗示；主意|Pointer: 指极星.
netscape	n. 美国网景公司(以开发Internet浏览器闻名)	11443351	both	close_common	n. 美国网景公司(以开发Internet浏览器闻名)
bookstore	书店（等于bookshop）	11285387	both	close_common	n. 书店|=bookshop.
turner	n. 铁匠；车床工人；锅铲；n. 体育协会会员；体育家；Turner: 特纳(姓氏).	10302792	both	close_common	n. 铁匠；车床工人；锅铲|n. 体育协会会员；体育家|Turner: 特纳(姓氏).
amenities	n. 适意；舒适；便利设施；（复）amenities：礼仪；礼节.	10198635	both	score	令人愉快之事物（amenity的复数）
turbo	n. 涡轮(发动机)；增压涡轮；n. [计] BORLAND公司开发的系列语言软件	10058686	both	close_common	n. 涡轮(发动机)；增压涡轮|n. [计] BORLAND公司开发的系列语言软件
grocery	n. 杂货店；adj. 杂货的；（复）groceries：食品杂货.	9699375	both	close_common	n. 杂货店|adj. 杂货的|（复）groceries：食品杂货.
victor	n. 胜利者；Victor.；n. 维克托(男子名)	9448878	both	close_common	n. 胜利者|Victor.|n. 维克托(男子名)
bobby	n. (英)警察；Bobby.；n. 鲍比(男子名；Robert的昵称)	8964342	both	close_common	n. (英)警察|Bobby.|n. 鲍比(男子名；Robert的昵称)
dramatic	adj. 戏剧性的；引人注目的；给人深刻印象的；激动人心的；dramatics: n.；戏剧作品；戏剧艺术；戏剧性的行为	8612079	both	close_common	adj. 戏剧性的；引人注目的；给人深刻印象的；激动人心的|dramatics: n.；戏剧作品；戏剧艺术；戏剧性的行为
mag	玛格（女子名）（Margaret的昵称）	8461577	both	score	abbr. 杂志（=magazine）
rec	娱乐；休闲（等于recreation，仅用于复合词中，如 room）	8441122	both	score	abbr. 录制（=record)
pb	n. 出版委员会；出版物公报；祈祷书；元素铅 plumbum的缩写.	8424893	both	close_common	n. 出版委员会（＝Publication Board）；出版物公报(=Publication Bulletin)；祈祷书（＝Prayer Book）|元素铅 plumbum的缩写.
irc	国际红十字会；Internet交互式闲聊程序	8332867	both	close_common	abbr. 网络实时聊天（=Internet Relay Chat）|abbr. 国际红十字会(=International Red Cross)
randy	adj. 好色的；adj. (苏格兰)粗野的；n. (苏格兰)放荡的女人；Randy.；n. 兰迪(男子名；Randolph的昵称)	8110369	both	close_common	adj. 好色的|adj. (苏格兰)粗野的|n. (苏格兰)放荡的女人|Randy.|n. 兰迪(男子名；Randolph的昵称)
timothy	n. 梯牧草；猫尾草(牧草之一种)；Timothy.；n. [圣经]提摩太	8103385	both	close_common	n. 梯牧草；猫尾草(牧草之一种)|Timothy.|n. [圣经]提摩太
bridges	n. 桥；Bridges.；n. 布里奇斯(姓氏)	8083681	both	score	[交] 桥梁；纽带（bridge的复数）
scotia	n. 凹形边饰；Scotia.；n. 苏格夏(苏格兰的拉丁名称)	7846014	both	close_common	n. 凹形边饰|Scotia.|n. 苏格夏(苏格兰的拉丁名称)
nicole	尼科尔（女子名，等于Nichole）	7827726	both	close_common	n. 尼科尔，妮可（女子名，=Nichole）
karl	卡尔（男子名，等于Charles）	7553289	both	close_common	n. 卡尔(男子名；Charles的异体)
henderson	亨德森(①姓氏 ②Arthur, 1863-1935, 英国工党领袖及政治家, 曾获1934年诺贝尔和平奖)	7453879	both	close_common	亨德森(①姓氏 ②Arthur,  1863-1935, 英国工党领袖及政治家, 曾获1934年诺贝尔和平奖)
beverly	Beverly.；n. 贝弗利（美国马萨诸塞州东北部城市）	7429063	both	close_common	Beverly.|n. 贝弗利（美国马萨诸塞州东北部城市）
poly	polytechnic的缩写）工艺专科学校；科技学校；工业学校(或大学)	7326088	both	close_common	abbr. 聚乙烯(=polyethylene)|pref. 多的；聚合的
dod	人名；(英)多德(男子教名George的昵称)；(南非)多德	7322498	both	close_common	abbr. 美国国防部(=department of defense)
providence	n. 天意；天命；n. 远见；卓识；先见之明；Providence: 上帝.	7284693	both	close_common	n. 天意；天命|n. 远见；卓识；先见之明|Providence: 上帝.
zen	禅；禅宗；禅宗信徒（等于 Buddhism）	7146814	both	hal_rejected	n. 禅
andale	[美国] 安代尔； [地名] [厄立特里亚] 安达莱	7136201	both	close_common	n. 安代尔(在美国；西经 97º38' 北纬 37º48')
bennett	班尼特（男子名, 等于Benedict）	7021418	both	close_common	n. 班尼特（姓氏；男子名；Benedict 的异体)
surrey	n. (四轮双座通常有篷的)萨里式游览马车；Surrey: n.萨里（英国南部郡名）	6743263	both	close_common	n. <美>(四轮双座通常有篷的)萨里式游览马车|Surrey: n.萨里（英国南部郡名）
hopkins	霍普金斯(①姓氏 ② Gowland, 1861-1947, 英国生物化学家, 曾获1929年诺贝尔生理学-医学奖)	6674368	both	close_common	霍普金斯(①姓氏 ②Sir Frederick Gowland,  1861-1947, 英国生物化学家, 曾获1929年诺贝尔生理学-医学奖)
gothic	adj. 哥特式小说风格的；n. 哥特式小说、电影或戏剧；Gothic: 哥特式的；哥特人的；哥特语的；中世纪的；野蛮的；粗鄙的.；Gothic：哥特式	6673024	both	close_common	adj. 哥特式小说风格的|n. 哥特式小说、电影或戏剧|Gothic: 哥特式的； 哥特人的； 哥特语的； 中世纪的； 野蛮的； 粗鄙的.|Gothic：哥特式； 哥特语； 黑体字.
kathy	凯西（女子名，等于Katherine）	6661457	both	close_common	n. 凯西(女子名；Katherine的昵称)
savannah	n. (特指非洲)大草原；Savannah.；n. 萨凡纳（美国乔治亚州东南部一城市）	6569355	both	close_common	n. (特指非洲)大草原|=savanna.|Savannah.|n. 萨凡纳（美国乔治亚州东南部一城市）
nerve	n. 神经；勇气；敏感处；叶脉；厚脸皮；v. 鼓起勇气；（复）nerves: 神经紧张.	6567418	both	close_common	n. 神经；勇气；敏感处；叶脉；厚脸皮|v. 鼓起勇气|（复）nerves: 神经紧张.
dans	(=1- acid) 1-二甲基氨基萘-5-磺酸,(=1-dimethylaminonaphthalene-5-sulfonyl) 1-二甲基氨基萘-5-磺酰	6566589	both	close_common	(=1-dimethylaminonaphthalene-5-sulfonic acid) 1-二甲基氨基萘-5-磺酸,(=1-dimethylaminonaphthalene-5-sulfonyl) 1-二甲基氨基萘-5-磺酰,(=1-dimethylaminonaphthalene-5-sulphonyl chloride) 1-二甲基氨基萘-5-磺酰(一种荧光色素),(=5-dimethylamino-1-naphthalenesulfonic acid) 5-二甲氨基-1-萘磺酸
richardson	理查森(①姓氏② Willians, 1879-1959, 英国物理学家, 曾获1928年诺贝尔物理学奖)	6506250	both	close_common	理查森(①姓氏②Sir Owen Willians,  1879-1959, 英国物理学家, 曾获1928年诺贝尔物理学奖)
condo	分户出售公寓大厦（等于condominium）	6444848	both	close_common	n. [口]分户出售公寓大厦|=condominium.
adaptor	[通信] 适配器；（美）改编者；转接器（等于adapter）	6027066	both	close_common	n. 改编者；适配器；转换器|=adapter.
sperm	n. 精液；精子；与抹香鲸有关的物质(如鲸脑油)；pref. 表示“精液；精子；种子”（ -；sperma-；spermi-）	5944531	both	close_common	n. 精液；精子；与抹香鲸有关的物质(如鲸脑油)|pref. 表示“精液；精子；种子”（=spermo-；sperma-；spermi-）
incl	包括（including，included）；包括的；包围	5842780	both	close_common	abbr. 包含；包括(=include；included；including；inclusive)
cindy	辛迪（女子名，Cynthia的昵称）	5809307	both	close_common	n. 辛迪(女子名；Cynthia的昵称)
pix	n. 照片（pictures的简写）；圣餐盒（pyx的变体）	5645638	both	close_common	n. <俚>照片（pictures的简写）；圣餐盒（pyx的变体）|名词pic的复数形式
functioning	运行，运作；[计] 功能；机能；起酌（function的动名词）	5619525	both	close_common	n. 机能|动词function的现在分词形式.
prayers	n. 祈祷；祝福；名词prayer复数形式.	5587372	both	score	祈祷；祝福；祷告者；恳求者（prayer的复数）
lou	卢（女子名，等于Louise或Lu）	5451701	both	close_common	n. 卢(人名；Louise；Louisa的昵称)
kw	千瓦特（kilowatt、kilowatts）	5302888	both	close_common	abbr. 千瓦(=kilowatt)
coordinated	adj. 协调性好的；协调的，配合的；v. coordinate的动词过去式、过去分词	5174649	both	close_common	adj. 协调性好的；协调的，配合的|v. coordinate的动词过去式、过去分词
cologne	n. 科隆香水；古龙水；Cologne:科隆(德国城市名）.	5078538	both	close_common	n. 科隆香水；古龙水|Cologne:科隆(德国城市名）.
ricky	里基（男子名，等于Rick，Rickie）	5071881	both	close_common	n. 瑞奇（男子名）|=Rick；Rickie.
adviser	顾问；劝告者；指导教师（等于advisor）	4911485	both	close_common	n. 顾问；指导教授；劝告者|=adviser(美).
chromosome	[遗][细胞][染料] 染色体（形容词chromosomal，副词chromosomally）	4898576	both	domain_medical	n. 染色体
matthews	马修斯(①姓氏 ② Brander, 1852-1929, 美国戏剧评论家, 散文家及教育家)	4890853	both	close_common	马修斯(①姓氏 ②James Brander,  1852-1929, 美国戏剧评论家, 散文家及教育家)
che	胆碱酯酶（等于cholinesterase）；化学（等于Chemical）；充电指示灯	4863235	both	close_common	abbr. 化学工程师（=chemical engineer）
chapman	n. 叫卖小贩；商人；Chapman；n. 查普曼(男子名)	4787251	both	close_common	n. <英>叫卖小贩；<古>商人|Chapman|n. 查普曼(男子名)
dropping	n. 点滴；滴下；落下物；(复)droppings: 动物的粪.	4761980	both	close_common	n. 点滴；滴下；落下物|(复)droppings: 动物的粪.|动词drop的现在分词形式.
counselor	顾问；法律顾问；参事（等于counsellor）	4699959	both	close_common	n. 顾问；参事；法律顾问|=counsellor.
anchorage	n. 下锚；停泊所；停泊税；寄托；Anchorage.；n. 安克雷奇(美国港口城市)	4651277	both	close_common	n. 下锚；停泊所；停泊税；寄托|Anchorage.|n. 安克雷奇(美国港口城市)
alzheimer	n. 老年痴呆症（亦称: disease，阿兹海默症）	4606962	both	close_common	n. 老年痴呆症（亦称:Alzheimer's disease，阿兹海默症）
chandler	n. 杂货零售商人；蜡烛商；Chandler.；n. 钱德勒（男子名；美国亚利桑那州中南部一城市）	4594301	both	close_common	n. 杂货零售商人；蜡烛商|Chandler.|n. 钱德勒（男子名；美国亚利桑那州中南部一城市）
methodist	n. 照章办事者；Methodist：卫理公会派教徒.；adj. 卫理公会教派的	4565081	both	close_common	n. 照章办事者|Methodist：卫理公会派教徒.|adj. 卫理公会教派的
novell	美国Novell公司，以开发网络产品著称	4539111	both	close_common	n. 美国Novell公司；以开发网络产品著称
pentagon	n. 五边形；Pentagon:五角大楼（美国国防部）.	4424810	both	close_common	n. 五边形|Pentagon:五角大楼（美国国防部）.
fried	adj. 炸过的；弗里德( Hermann,1864-1921，奥地利著述家、记者，曾获1911年诺贝尔和平奖）	4364192	both	close_common	adj. 炸过的|弗里德(Alfred Hermann,1864-1921，奥地利著述家、记者，曾获1911年诺贝尔和平奖）
domination	n. 支配；控制；管辖；dominations:[宗]主天使.	4362286	both	close_common	n. 支配；控制；管辖|（复数）dominations:[宗]主天使.
mcgraw	[苏格兰人、爱尔兰人姓氏] 麦格劳 McCrae的变体； [地名] [美国] 麦格劳	4354997	both	close_common	n. 麦格劳(在美国；西经 76º04' 北纬 42º36')
franz	Ferdinand弗朗茨·斐迪南( Ferdinand的德文名)	4321556	both	close_common	n. 弗朗茨·斐迪南(Francis Ferdinand的德文名)
willie	威利（男子名， William的昵称）	4301619	both	close_common	n. 威利(男子名；William 的昵称)
prof	教授（等于professor）	4282231	both	score	abbr. 教授(=professor)
carrie	卡丽（女名，Caroline的昵称）	4245824	both	close_common	n. 卡丽，嘉莉(女子名，Caroline的昵称)
lipitor	[医]立普妥( calcium包衣片)	4243818	both	domain_medical	立普妥(atorvastatin calcium包衣片)<降血脂药>
remodeling	重塑；重构（remodel进行式）；改建	4243031	both	close_common	n. 重新塑造；改型；重作|动词remodel的现在分词形式.
jerseys	n. 毛线衫；毛织运动衫；Jersey: 泽西岛； 泽西乳牛.	4222586	both	score	运动衫( jersey的名词复数 )
hoover	v. 用真空吸尘器把...清除掉；获得大量的(某物)；Hoover；n. 胡佛吸尘器(商标名)	4189070	both	close_common	v. 用真空吸尘器把...清除掉；获得大量的(某物)|Hoover|n. 胡佛吸尘器(商标名)
smartphone	n. Microsoft开发的新一代手机操作系统平台；智能手机	4175885	both	close_common	n. Microsoft开发的新一代手机操作系统平台；智能手机
canton	n. 一些国家的行政区；(瑞士的）州；（法国的）县；（徽章或旗子）右上角的小方块部分；Canton.；n. 广州（英语中的旧称）	4164322	both	close_common	n. 一些国家的行政区；(瑞士的）州；（法国的）县；（徽章或旗子）右上角的小方块部分|Canton.|n. 广州（英语中的旧称）
pol	油料（Petroleum， Lubricants）；北极星导弹	4104771	both	close_common	abbr. 石油；燃料与润滑剂（=petroleum；oil and lubricant）|abbr. 北极星导弹（=Polaris）
schneider	n. (德语)西装店；裁缝店；Schneider.；n. 施奈特（姓氏）	4018252	both	close_common	n. (德语)西装店；裁缝店|Schneider.|n. 施奈特（姓氏）
arsenal	n. 兵工厂；军械库；储藏；Arsenal.；n. 阿森纳(英格兰一足球队名)	4017059	both	close_common	n. 兵工厂；军械库；储藏|Arsenal.|n. 阿森纳(英格兰一足球队名)
paramount	adj. 极为重要的；至高无上的；n. 最高统治者；Paramount.；n. 派拉蒙(美电影公司)	3954831	both	close_common	adj. 极为重要的；至高无上的|n. 最高统治者|Paramount.|n. 派拉蒙(美电影公司)
walton	沃尔顿(①姓氏, 男子名 ② Sinton, 1903-, 英国物理学家, 曾获1951年诺贝尔物理学奖)	3910292	both	close_common	沃尔顿(①姓氏, 男子名 ②Ernest Thomas Sinton,  1903-, 英国物理学家, 曾获1951年诺贝尔物理学奖)
coloured	adj. 彩色的；有色的；动词词colour的过去式和过去分词.	3867584	both	close_common	adj. 彩色的；有色的|动词词colour的过去式和过去分词.|=color（美）.
respects	vt. 尊敬；尊重；遵守；关于；涉及；n. 尊敬；敬重；关系；方面；n. （复）respects: 敬意；问候	3850738	both	close_common	vt. 尊敬；尊重；遵守；关于；涉及|n. 尊敬；敬重；关系；方面|n. （复）respects: 敬意；问候
randall	兰德尔（亦作Randal）	3802515	both	close_common	n. 兰德尔(男子名；亦作Randal)
bella	贝拉（女子名，等于Arabella，Isabella）	3753635	both	close_common	n. 贝拉（女子名，Isabella的昵称）
laurent	劳伦，洛朗(Hermann,1841-1908，法国数学家)	3680554	both	close_common	n. 劳伦；洛朗(Hermann；1841-1908；法国数学家)
xenical	[医]赛尼可（含orlistat）	3677341	both	domain_medical	赛尼可(含orlistat)
deli	熟食店；[食品] 熟食品（等于delicatessen）	3655555	both	close_common	n. (=delicatessen) 熟食店
xxxx	[医] syndrome,四X综合征	3652233	both	domain_medical	n. 一种澳大利亚产的贮陈啤酒; 某一四字词的幽默讳饰用法
everett	n. 埃弗雷特(Everard的异体)(	3648760	both	close_common	n. 埃弗雷特(Everard的异体)(m
vince	文斯（男子名，Vincent的昵称）	3616647	both	close_common	n. 文斯(人名；Vincent的昵称)
gwen	n. 格温(女子名；Gwendolyn的昵称)	3599486	both	score	ground wave emergency network 地波应急（通信）网，地下波应急工程
boxer	n. 拳击手；拳师狗；boxers: 拳击短裤.	3592432	both	close_common	n. 拳击手；拳师狗|(复数）boxers: 拳击短裤.
oakley	[俚]赠券（等于 Oakley）；奥克利眼镜	3561959	both	close_common	n. <俚>=Annie Oakley，赠券，免费入场券；奥克利眼镜
reversed	adj. 颠倒的；相反的；撤销的；动词reverse过去式和过去分词.	3556556	both	score	颠倒（reverse的过去式和过去分词）；翻转
graves	n. 坟墓；Graves.；n. 格拉夫区（法国西南部一个地区）；n. （法国）格拉夫葡萄酒；格雷夫斯病	3552013	both	close_common	n. 坟墓|名词grave的复数形式.|Graves.|n. 格拉夫区（法国西南部一个地区）|n. （法国）格拉夫葡萄酒|格雷夫斯病
panty	女裤；童裤（等于panties）	3546636	both	close_common	n. (=panties)童裤；女裤
councillor	议员；顾问；参赞（等于councilor）	3537961	both	close_common	n. 政务会委员；议员|=councilor（美）.
conrad	康拉德（男子名，等于Konrad）	3512615	both	close_common	n. 康拉德(男子名；亦作Konrad)
weaver	n. 织布工；编织者；Weaver.；n. 韦弗(男子名或姓氏)	3464764	both	close_common	n. 织布工；编织者|Weaver.|n. 韦弗(男子名或姓氏)
eureka	int. 找到了! 有了！；Eureka.；n. 尤里卡（加利福尼亚西北部一城市）	3445857	both	close_common	int. 找到了! 有了！|Eureka.|n. 尤里卡（加利福尼亚西北部一城市）
evergreen	adj. 常绿的；n. 常绿树；常绿植物；(复)evergreens: 常绿树枝条.	3333511	both	close_common	adj. 常绿的|n. 常绿树；常绿植物|(复)evergreens: 常绿树枝条.
resurrection	n. 复活；复兴；恢复；Resurrection：耶稣复活； （最后审判日前）全部死者的复活.	3299623	both	close_common	n. 复活；复兴；恢复|Resurrection：耶稣复活； （最后审判日前）全部死者的复活.
gina	n. 吉娜(Regina；Angelina等的昵称)；abbr. 全球哮喘防治创议	3284599	both	close_common	n. 吉娜(Regina；Angelina等的昵称)|abbr. 全球哮喘防治创议（Global Initiative for Asthma）
whistler	n. 吹口哨的人；花白旱獭；啸&%2340543；啸声干扰；Whistler.；n. 惠斯勒(姓氏)	3281414	both	close_common	n. 吹口哨的人；花白旱獭；啸&%2340543;；啸声干扰|Whistler.|n. 惠斯勒(姓氏)
unesco	联合国教科文组织（ Educational，Scientific， Organization）	3259063	both	close_common	abbr. 联合国教育科学文化组织|(=United Nations Educational Scientific and Cultural Organization).
lowell	洛厄尔（男子名，等于Lovell）	3240910	both	close_common	n. 洛厄尔(Lovell的异体)(m
maths	数学（等于mathematics）	3231878	both	close_common	n. 数学|=mathematics（英）.
robbins	罗宾斯(①姓氏 ② Chapman, 1916-, 美国医学家, 曾获1954年诺贝尔生理学-医学奖)	3193148	both	close_common	罗宾斯(①姓氏 ②Frederick Chapman,  1916-, 美国医学家, 曾获1954年诺贝尔生理学-医学奖)
