text	translation	source	flag
abduct	绑架；诱拐；使外展	both	G4-verb-sense-lost
abducted	[法] 诱拐	both	G4-verb-sense-lost
abe	亚伯（男子名，等于Abraham）	both	review
abigail	n. 侍女；Abigail:.；n. 阿比盖尔(女子名)	both	review
abjure	发誓放弃；公开放弃；避免	both	G4-verb-sense-lost
abolish	废除，废止；取消，革除	both	G4-verb-sense-lost
abolishing	废除，废止；取消，革除	both	G4-verb-sense-lost
abscond	逃匿，潜逃；避债	both	G4-verb-sense-lost
absconder	[法] 潜逃者, 逃亡者	both	G4-verb-sense-lost
absent	缺席的；缺少的；心不在焉的；茫然的	both	G4-verb-sense-lost
absolve	免除；赦免；宣告…无罪	both	G4-verb-sense-lost
abuse	滥用；虐待；辱骂；弊端；恶习，陋习	both	G4-verb-sense-lost
abused	滥用，恶习；受虐	both	G4-verb-sense-lost
abuser	滥用者；施虐者	both	G4-verb-sense-lost
abuses	滥用；虐待；暴行	both	G4-verb-sense-lost
abut	邻接；毗邻；紧靠	both	G4-verb-sense-lost
accent	口音；重音；强调；特点；重音符号	both	G4-verb-sense-lost
acclaim	欢呼，喝彩；称赞	both	G4-verb-sense-lost
acclimate	使适应；使服水土	both	G4-verb-sense-lost
acclimatize	使适应新环境，使服水土	both	G4-verb-sense-lost
acclimatized	使适应新环境，使服水土	both	G4-verb-sense-lost
accommodated	使适应；安置；为…提供住宿	both	G4-verb-sense-lost
accomplish	完成；实现；达到	both	G4-verb-sense-lost
accord	符合；一致；协议；自愿	both	G4-verb-sense-lost
accorded	符合；一致；协议；自愿	both	G4-verb-sense-lost
accost	勾引；引诱；对…说话；搭讪	both	G4-verb-sense-lost
accredit	授权；信任；委派；归因于	both	G4-verb-sense-lost
accuse	控告，指控；谴责；归咎于	both	G4-verb-sense-lost
ace	幺点；直接得分的发球；佼佼者；（俚）最好的朋友	both	G4-verb-sense-lost
aced	发球得分	both	G4-verb-sense-lost
acetylated	[机] 乙酰化了的	both	G4-verb-sense-lost
achieve	取得；获得；实现；成功	both	G4-verb-sense-lost
acknowledge	承认；答谢；报偿；告知已收到	both	G4-verb-sense-lost
acquire	获得；取得；学到；捕获	both	G4-verb-sense-lost
acquit	无罪释放；表现；脱卸义务和责任；清偿	both	G4-verb-sense-lost
act	行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势	both	G4-verb-sense-lost
activate	刺激；使活动；使活泼；使产生放射性	both	G4-verb-sense-lost
actuate	开动（机器等）；促使，驱使；激励（人等）	both	G4-verb-sense-lost
adaptor	[通信] 适配器；（美）改编者；转接器（等于adapter）	both	review
adecco	Adecco公司(财富500强公司之一, 总部所在地瑞士, 主要经营)	both	review
adhere	坚持；依附；粘着；追随	both	G4-verb-sense-lost
adirondack	阿尔岗金族印第安人； 艾迪龙达克（美国IBM公司大型计算机System3081D在开发时期所用代号）	both	review
adler	阿德勒(①姓氏 ②Alfred, 1870-1937, 奥地利精神病学家、心理学家)	both	review
admins	[计]一种数据库管理系统(Admins公司)	both	review
adopting	采取；接受；收养；正式通过	both	G4-verb-sense-lost
adore	崇拜；爱慕；喜爱；极喜欢	both	G4-verb-sense-lost
adores	崇拜；爱慕；喜爱；极喜欢	both	G4-verb-sense-lost
adsorb	吸附；聚集	both	G4-verb-sense-lost
adventure	冒险；冒险精神；投机活动	both	G4-verb-sense-lost
adventured	冒险；冒险精神；投机活动	both	G4-verb-sense-lost
adventuring	冒险；冒险精神；投机活动	both	G4-verb-sense-lost
advertise	通知；为…做广告；使突出	both	G4-verb-sense-lost
advise	建议；劝告，忠告；通知；警告	both	G4-verb-sense-lost
adviser	顾问；劝告者；指导教师（等于advisor）	both	review
advocate	提倡者；支持者；律师	both	G4-verb-sense-lost
aerate	充气；让空气进入；使暴露于空气中	both	G4-verb-sense-lost
aeronautical	航空的；航空学的；飞机驾驶员的（等于aeronautic）	both	review
aerosolized	雾化；使…成烟雾状散开	both	G4-verb-sense-lost
affect	情感；引起感情的因素	both	G4-verb-sense-lost
affix	[语] 词缀；附加物	both	G4-verb-sense-lost
affixed	粘贴；署名；使…附于	both	G4-verb-sense-lost
afflict	折磨；使痛苦；使苦恼	both	G4-verb-sense-lost
age	年龄；时代；寿命，使用年限；阶段	both	G4-verb-sense-lost
aggrandize	增加；夸大；强化	both	G4-verb-sense-lost
aggravate	加重；使恶化；激怒	both	G4-verb-sense-lost
aggregator	聚合器，整合者；汇集者，聚合	both	G4-verb-sense-lost
agonize	使极度痛苦；折磨	both	G4-verb-sense-lost
aid	援助；帮助；助手；帮助者	both	G4-verb-sense-lost
